start	end	text
0	2400	I travel a lot by car.
2400	5240	I go to Burkina Faso, driving from Lagos to Burkina Faso,
5240	6600	from Lagos to Abidjan, I go.
6600	8840	How is that like the?
8840	9840	Yes, very interesting.
9840	10920	Crossing the border.
10920	11880	Very, very, very.
11880	13080	Yes, constantly.
13080	14720	I have stories, don't I?
14720	15440	I have stories.
15440	18000	Even one immigration guy from Benengubi
18000	21560	threatened to shoot in his office,
21560	23240	that I should get out of his office.
23240	25120	Otherwise, he would shoot, I say shoot.
25120	29960	I'm here, because anyway, you know,
30000	31320	because I'm a journalist.
31320	35360	So, most times, they are a bit careful, you understand.
35360	38360	But that guy, they are not telling that I'm a journalist.
38360	40440	I wanted to see what is going to happen.
41440	42280	But...
